Rank,Title,Synopsis,keyword,biggenre,genre
129,追放後の悪役令嬢は、森の中で幸せに暮らす。,"第一王子であるローゼウスの婚約者になったミラ。
ローゼウスは体が弱く、それをミラは幼いころから支え、そして自らも薬学を学ぶことで献身的に接していた。
だがある時、ミラの妹であるオリビアが聖女だと判明する。聖女のおかげで体調が良くなったローゼウス。喜んだのもつかの間、ミラはローゼウスに怪しい薬を飲ませたとして、罪人として顔を焼かれ追放されることになるのであった。

",女主人公 悪役令嬢,1,101
130,私を私として好きになってください。番がどうとか言わずに。と彼女は言った。,"君がほっとしたように笑ったときに、ああ、運命だなと思った。
婚約破棄をされた彼女を拾ったのは田舎の男爵のロディだった。嫌な予感を覚えてすぐに故郷に連れ帰ろうとしたが、道中は一筋縄ではいかないようで？
「俺なら婚約破棄だけだなんて生ぬるいことしないと彼は言った。」の別視点のお話。",人外 ハッピーエンド 異類婚姻譚 婚約破棄 R15 残酷な描写あり,1,101
131,義妹が本物、私は偽物？ 追放されたら幸せが待っていました。,"　その国には、古くからの取り決めがあった。
　&quot;海の神女（みこ）は、最も高貴な者の妃とされるべし&quot;

　そして、数十年ぶりの&quot;海神の大祭&quot;前夜、王子の声が響き渡る。
「偽神女スザナを追放しろ！　本当の神女は、ここにいる彼女の妹レンゲだ」

　神女として努めて来たスザナは、義妹にその地位を取って変わられ、罪人として国を追われる。彼女に従うのは、たった一人の従者。
　過酷な夜の海に、スザナたちは放り出されるが、それは彼女にとって待ち望んだ展開だった──。

　果たしてスザナの目的は。さらにスザナを不当に虐げた、王子と義妹に待ち受ける未来とは。


　ドアマットからの&quot;ざまぁ&quot;を、うつ展開なしで書きたくて綴った短編。海洋ロマンス・ファンタジーをお楽しみください！

※2024/3/25朝昼夜、3/26朝昼、日間&lt;総合&gt;2位。有難うございます！！
※3/29週間&lt;総合&gt;ランキング2位。有難うございます！！
※アルファポリス様にも掲載しています。",ハッピーエンド 異類婚姻譚 ゆるふわ設定 主従 追放 ざまぁ/ざまあ 海神 ファンタジー 溺愛 聖女がわりに神女 神話/民話 東洋でも西洋でも可 和風もアリ by.みこと。,1,101
132,私の周りは喩えるなら秋かしら。冷たい風を予感させるような。,"私はこんな時怒ったり悲しんだりすべきなのかしら。
知っている？泣くのも怒るのも、とっても疲れてしまうのよ？

「逃した魚は大きかっただろう。思い知るが良い！」というシリーズの４つ目です。→https://ncode.syosetu.com/s8970h/
",シリアス 女主人公 西洋 ヒストリカル 婚約破棄 離婚,2,201
133,「お前を愛する事はない」と言われた件について,"アリエスはファーレン領を持つファーレン子爵家の次女に生まれた。
学園卒業時に婚約者の家が没落して婚約は解消。
その衝撃で前世の記憶を思い出した。
もう結婚はしなくても仕事に生きようとした矢先、ジークベルト・テオ・ローゼンハイム侯爵子息と急遽結婚することになった。
婚姻届を出した後、お茶をしていたところジークベルとから「お前を愛する事はない」と言われて・・・・。
自立心が強い女性のお話です。",女主人公 恋愛無し 異世界転生,2,201
134,幽閉王女と指輪の精霊～嫁いだら幽閉された！餓死する前に脱出したい！～,"　同盟国へ嫁いだヴァイオレット姫。夫である王太子は初夜に現れなかった。たった1人幽閉される姫。やがて貧しい食事すら届かなくなる。長い幽閉の末、死にかけた彼女を救ったのは、家宝の指輪だった。
　1年後。同盟国を訪れたヴァイオレットの従兄が彼女を発見する。忘れられた牢獄には姫のミイラがあった。激怒した従兄は同盟を破棄してしまう。
　一方、下町に代書業で身を立てる美少女がいた。ヴィーと名を偽ったヴァイオレットは指輪の精霊と助けあいながら暮らしていた。そこへ元夫？である王太子が視察に来る。彼は下町を案内してくれたヴィーに恋をしてしまう…。",ギャグ 女性向け 魔法使い 王女、王子 王太子、王 精霊 帝国 幽閉 異世界 恋愛,1,101
135,ドアマットヒロインに転生した女は不遇時代をショートカットしてざまぁ対象全員潰しますので背後にお気をつけて,"※本作はカクヨム自主企画三題噺「マット」「ショート」「背後」をお題に書いた短編です！

【あらすじ】
エリザ。意地悪な継母と姉二人にいじめられる可哀そうな女。
いわゆるドアマットヒロイン。それが物語に転生した『今の私』らしい。

今の私、エリザがいる世界は、前世の私が暇つぶしに読んでいた小説のひとつ、『家族にいじめられていた醜いアヒ族の私、実は白銀の聖女でした』の世界そのものだった。
そして、私はあろうことかその作品の主人公エリザになっていた。

ドアマットヒロインに転生した『私』がとっととショートカットしてどんどん登場人物の背中に突き立てていく物語。",女主人公 ハッピーエンド ざまぁ ドアマットヒロイン ドアマット 強い女性 異世界転生,1,101
136,面倒事が向こうから走ってきた。恐るべき速さで。,"どうしようかなぁ。どうすればいいかなぁ。
あの国にも悪いことをした。

でもあの王太子も王太子だ。いくら印象を良くするためだと言っても、あの態度は無い。
八つ当たりしても許されると思う。

「逃した魚は大きかっただろう。思い知るが良い！」というシリーズの５つ目です。→https://ncode.syosetu.com/s8970h/
",女主人公 西洋 ヒストリカル,2,201
137,君のことは愛せないと言われて使用人が止めに入るような事態になった(笑),"結婚して十日後、友人とのお茶の席での話です。
幸せいっぱいだろうと思っていざ結婚した友人にあってみると憂い顔で、話を聞くと「君を愛することはない」と夫婦の寝室で言われたのだと話し始めます。",結婚した友人 憂い顔 君を愛することはない 助けてー！！ 殺されるー！,3,302
138,ごきげんよう、元婚約者様,"「最後にお会いしたのは、貴方から婚約破棄を言い渡された日ですね――」

　ローゼンハイン侯爵令嬢クリスティーネからアレクシス王太子へと送られてきた手紙は、そんな書き出しから始まっていた。アレクシスはフュルスト男爵令嬢グレーテに入れ込み、クリスティーネとの婚約を一方的に破棄した過去があったのだ。

　手紙は語る。クリスティーネの思いと、アレクシスが辿るであろう末路を。

※ 3/25 誤字修正しました。ご指摘ありがとうございました。
※ アルファポリスにも投稿しています。",婚約破棄 ざまぁ,1,101
139,ご飯は大事だよ、と聖女は言った。,　異世界からやって来た聖女によってお城を追い出された聖女が最終的に幸せになる話。,ゆるふわ設定 聖女,99,9999
140,今度は貴方を愛さない,"「貴様はナイーゼ家内の部屋に軟禁させてもらうこととする」
「お願い、どうかそれだけはっ」

　実の妹に数々の悪事を働いた公爵令嬢リリア・ナイーゼ。彼女は遂に皇太子の手によって断罪された。それも、大勢の貴族の前で。

　けれどもリリアは無実だった。

　ずっと愛し続けた皇太子に捨てられた彼女は、苦しみの中ひっそりと一度目の生涯を終えた。
&quot;今度出会うことがあるのなら、今度は彼を愛さない&quot;そう心に決めて。

　彼女の思いに応えるように、次に目を覚ますと、彼女は幼少期まで戻っていた。
　今ならまだやり直せる。そう思って行動に移そうとするも、皇太子の様子がおかしくて‥‥‥‥‥。

※ハッピーエンド",シリアス 女主人公 西洋 ハッピーエンド タイムリープ 悪役令嬢 ミステリー サスペンス 異世界 やり直し 初恋 貴族 婚約破棄 復縁 R15 残酷な描写あり,1,101
141,私は、婚約者の御前試合の応援には参りません。薄情な婚約者？　あらまあ、ずいぶんな言い草ですわね。,"伯爵令嬢キャロラインは、婚約者であり子爵令息であるアンドレアスとの不仲が噂されていた。

アンドレアスは剣の腕前が素晴らしく、御前試合にも参加するというのに、彼女は勝ち進むアンドレアスの試合をまったく応援しようとしないのだ。

その頑なな姿に、アンドレアスに恋心を抱く令嬢たちはキャロラインを責め立てる。

その上キャロラインは、せっかく会いに来てくれたアンドレアスにお茶に誘われるも拒否してしまう。彼女の態度には理由があって……。

婚約者の勝利を願うあまり、がんじがらめになってしまう真面目で一途な誤解されやすいヒロインと、ヒロインの優しさを誰よりも理解しているヒーローの恋物語。

ハッピーエンドです。",女主人公 西洋 学園 近世 日常 ハッピーエンド 青春,1,101
142,側室候補にすぎないので、３年我慢して実家に帰ります。,辺境の公爵令嬢であるレイカは、制度に従い、側室候補として王宮に来たものの、その扱いの酷さにすっかり呆れてしまい、国王に対しても好意を抱きようもなく・・・。,R15 残酷な描写あり 異世界転生 女主人公 魔法 シリアス 愚かな王 愛のない結婚,2,201
143,第一王子婚約破棄を宣言して国王になる,ハノーヴァー王国第一王子、ジョンは真実の愛を得るために父の定めた婚約者に向け、婚約破棄を宣言した。それを知った父である国王はジョンに新しく建国し、その王になることを指示する。,ほのぼの ハッピーエンド,1,101
144,田舎のダンジョンで『ホイホイ』し続けて15年　美女も金も集まらないけど最近流行の配信とやらで義妹の医療費を稼ぎます　ところで配信ってなんだ？ボタンを押して後は放置で良いと義妹に言われたんだが…,"今年30歳の山口新也（やまぐちしんや）は難病を抱えた義妹、山口沙雪（やまぐちさゆき）の医療費を稼ぐためにダンジョンに潜る。

数百年前にダンジョンが現れると、空気中に魔素と言われる物質が含まれ、これを摂取し続けた人間は十歳を超えると、スキルを授かる。

俺は、スキル『ホイホイ』と言われるスキルを授かった。村のじっちゃんとばっちゃんに聞くと、Gを捕まえるための罠のようなもの、つまり、何かを集めるスキルなのではと言われる。

それから十五年、『ホイホイ』し続けても。俺が欲しいお金とお姉さんは一向に現れなかった。スキルなんて当てにならないなぁと思いつつ、『ホイホイ』はやめない。

ある日、沙雪のいる病室に訪れると、沙雪から『スマホ』、『配信』、『ドローン』という聞き慣れない言葉を使われる。

なんでも『スマホ』と呼ばれるものをタッチすると『ドローン』と呼ばれる変なものが俺を追跡してお金が入るらしいのだ。

ボタンを押すだけでお金が入るなら、これほど美味しいモノはない。俺はさっそくポチっと押した。

結局『配信』ってなんだ？

カクヨムにも掲載中",ＥＳＮ大賞６ 男主人公 ハーレム チート 魔法 日常 ダンジョン 残酷な描写あり,2,202
145,転生したら欲しがり妹だった件～欲しがり妹の商会長,"メアリー10歳、ローゼン伯爵家の次女だ。

ある日、姉オリビアの婚約者、第三王子から、欲しがり妹として断罪され、破綻寸前の駅馬車商会に商会長として追放される。

オリビアが起業した駅馬車商会は破産寸前、ならば、メアリーのせいで、破産したとするための策略だった。

メアリーは転生者であるが、特に何か特技があるわけではない。

欲しがり妹として振る舞うことにした。


やがて、彼女の意図とは別にして、商会が立ち直り。奉公人達はやる気を出し。
債権者は融資を追加するが・・・・・

王子と姉は商会を取り返そうと企む。",シリアス 女主人公 職業もの 日常 ざまぁ 欲しがり妹 異世界転生,2,201
146,デブスとは、言ってくれるじゃないクソ王子！,"　
　第二王子であるフィランダーの婚約者クローディアは、王宮の廊下をカツカツと歩いていた。

　探しているのはもちろんフィランダーだ。彼はパーティーの途中でふらりといなくなり、これは今回に限ったことではなかった。

　いつもいつも一人にされ、いい加減、居場所を突き止めてやると意気込んで歩いていると声が聞こえてくる。それは酒に酔ったらしいフィランダーの声で、何やらクローディアの悪口を言っている様子だった。

",女主人公 ヒストリカル 婚約破棄 ざまぁ ハッピーエンド,1,101
147,お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜,"【書籍化、コミカライズ】
貴族の子として生まれたヴァンは２歳になった時、不意に自分が転生者であることを思い出した。
様々な部分で幼児とは思えない行動を見せ、一時期は神童と噂されるヴァン。
しかし、８歳で行う魔術適性鑑定の儀にて、役立たずと揶揄される生産系魔術の適性があるという結果が出てしまい、ヴァンは侯爵家を追い出されることになってしまった。
追いやられた先の村では様々な苦難が訪れるが、ヴァンはそれでも村の発展と防衛を続け、やがて名も無き村は巨大都市へと変化していく。
でも、ドラゴンの襲来はもう嫌です。

ギャグ多めで進行したいと思います。

次にくるライトノベル大賞にて３位入賞・:*+.\(( °ω° ))/.:+
ありがとうございます☆*:.。. o(≧▽≦)o .。.:*☆

異世界転移転生での日間ランキング１位！
異世界転移転生での週間ランキング１位！
異世界転移転生での月間ランキング１位！
異世界転移転生での四半期ランキング１位！
異世界転移転生での年間ランキング1位！
総合日間ランキング２位！
総合週間ランキング３位！
総合月間ランキング２位！
総合四半期ランキング1位！
総合年間ランキング2位！
総合累計ランキング12位！

※カクヨムにも掲載してみました！",ギャグ シリアス 男主人公 西洋 中世 チート 内政 ダンジョン オリジナル戦記 最強 成り上がり 貴族 錬金術 奴隷 異世界転生,2,201
