Rank,Title,Synopsis,keyword,biggenre,genre
1,精霊に「お前は俺たちの主人に相応しくない、契約破棄してくれ！」と言われたので、欲しがっている妹に譲ることにしました,"「魔力のないお前は俺たちの主人に相応しくない、契約破棄してくれ！」
　契約していた精霊にそう告げられ、ミスティア・レッドフィールド男爵令嬢は呆然とした。
「精霊様方もこう仰っていますし、崇高なるお力をベストな状態で奮って頂かねば。お姉様、どうか契約主の御立場を私に譲ってくださいませ！」
　精霊たちを自らの傍に侍らせながら、アリーシャ・レッドフィールド男爵令嬢が言った。
　上位精霊に見劣りしない可愛らしい容姿に、愛嬌のある性格――そして潤沢な魔力量。なにもかもがミスティアとは正反対である。しかしつたないながらも、ミスティアは精霊達のために身をなげうって努力してきた。だが全ては無駄だったらしい。
（――なら、差し上げるわ）
　ミスティアは妹であるアリーシャに精霊達を譲ることを決意する。失意のミスティアだったが、そんな彼女にある救いの手が差し伸べられるのだった――。
※書き溜めておりますので、しばらく毎日更新予定です。",シリアス 女主人公 西洋 チート 魔法 ハッピーエンド ヤンデレ 精霊 令嬢 契約破棄 欲しがりの妹 ざまぁ もう遅い 溺愛 R15 残酷な描写あり,1,101
2,【書籍化】捨てられ才女は家族と一緒にのんびり生きることにします,"幼い頃から才媛と称えられてきた令嬢アンネリーゼ。
しかし、婚約者である王太子に、
婚約破棄された上、追放を告られる。
娘への対応に憤った一家は、揃って隣国へ移住することに。
幼い双子の弟妹のために、絵本を作ったり、
美容品や計算機、冷蔵庫に便利グッズを作り、
貧しい人のための病院を作ったりと大活躍！
そんなアンネリーゼの噂を知った周辺諸国は彼女を手に入れるために動き出して…！？

4/26 異世界総合週間3位！　異世界恋愛週間3位！
4/13 異世界総合週間1位！　異世界恋愛週間１位！
4/26 異世界総合月間2位！　異世界恋愛月間2位！
ありがとうございます♡",ほのぼの 女主人公 西洋 チート 転生チート 純愛 婚約破棄 追放 他国に移住 業務改革 アイテム作成 事業 商才 R15 残酷な描写あり 異世界転生 異世界転移,1,101
3,【第二部開始】巻き込まれて召喚された限界OL、ギルド所属の【魔物解体嬢】として奮闘中〜ドラゴンですか？もちろん捌けます！〜,"
　◇◆書籍化進行中◆◇

え？　聖女召喚に巻き込まれた？
想定外の事故？　元の世界に帰れない？
……え？【解体】スキルってなんですか？

社会人2年目、ブラック企業に勤めるサチはいつものように終電間際まで働いて帰路を急いでいると、突然眩い光に包まれて意識を失った。
目を覚ますと「聖女召喚成功だ！」と盛り上がる人々と、『聖女』と持て囃される1人の女子高生の姿が。
え？　これってアニメとか漫画でよく見る異世界召喚ってやつ？
そう思っていると、「あっちはどうする？」「魔法陣に入ってしまったのか？」「なんてこった」「間違いだ」と何とも失礼な話をしているではないか。
は？　聖女召喚の魔法陣にたまたま私が乗っていた？　巻き込まれ？　事故？
おまけに【天恵（ギフト）】と呼ばれる特異な能力の鑑定を受けると、【解体】と診断されたサチ。
魔王討伐には不要と捨て置かれるが、冒険者ギルドのサブマスターに「ギルドで働かないか」とスカウトされる。
案内されたのは冒険者が持ち込んだ魔物を素材別に解体する血生臭くて過酷な『魔物解体カウンター』（※超多忙）。
……え？　私の職場、ここなんですか？

聖女召喚に巻き込まれた限界OLサチは、ギルドの『魔物解体カウンター』で毎日激務をこなしながら異世界で逞しく生きていく！　……つもりが、なんでクエストに出ることになってるの！？

※魔物を解体するシーンがあるので保険で残酷描写有りにしています
※マッグガーデン・ノベルズ様にて書籍化進行中です
※カクヨム様でも公開中

◇ハイファン、異世界転生/転移(ファンタジー)にて日間総合1位、週間総合1位、月間総合1位いただきました！",女主人公 職業もの チート 日常 異世界召喚 巻き込まれ 恋愛要素あり 魔物 書籍化進行中 残酷な描写あり 異世界転移,2,201
4,【連載版】カバンの勇者の異世界のんびり旅～ハズレ勇者と王城から追放され奈落に落とされた。でも実はカバンは何でも吸収できるし、日本から何でも取り寄せられるチート武器だった。今更土下座されても戻る気はない,"
　高校生の僕【佐久平《さくだいら》　啓介】はある日、異世界に【カバンの勇者】として召喚される。

　カバンなんて使えないからという理由で、召喚主である女王から、追放処分をうける。

　その後、最難関ダンジョンに放り出された僕は、そのまま死ぬ……と思われた。
　しかし……。

「え、カバンって攻撃も、モンスターも収納できるの！？」

「え！？　現実から食べ物も飲み物のも、とり寄せ放題なの！？」

　意外と、このカバン……チートでした。
　魔王討伐という任務から解放された僕は、このチートカバンを手に、異世界をのんびり旅することになったのだった。",男主人公 主人公最強 追放 ざまぁ もう遅い スローライフ 無自覚最強 残酷な描写あり 異世界転移,2,201
5,悪役令嬢からの離脱前２４時間,【母親殺し】の悪役令嬢と呼ばれるエリーゼが「青薔薇の王国」という小説の世界に転生している、と気づいたのは自分が死ぬ２４時間前であった。故にエリーゼは小説の世界からの解放を目指して、叛旗を翻したのであった。,冤罪 悪役令嬢 婚約破棄 最強の護衛 残酷な描写あり 異世界転生,1,101
6,【連載版】追放後の悪役令嬢は、森の中で幸せに暮らす～ウサギの呪いを解きたくない～,"第一王子ローゼウスの婚約者となったミラ。
体の弱いローゼウスの為に、これまで自分の生活を犠牲にしながら王子妃教育に薬学も学び、尽くしてきた。
だが、そんな時、妹であるオリビアが聖女であること判明し！？
ミラは怪しい薬をローゼウスに呑ませたとして、罪人として顔を焼かれ森に追放される。

それから２年後。呪われたウサギの王子に出会ったことで、ミラの運命がまた動き始める。



",女主人公 追放 ざまぁ 獣化 ウサギ 作者はアホの子,1,101
7,そんな事を言われましても,第三王子ハルトヴィンと婚約した侯爵令嬢フロレンティーナは、ある日王都のカフェで見知らぬ女性に絡まれた。転生の知識も特別な才能もないけれども、仲良くなるのには、ほんのちょっとの思いやりがあれば良かったという話。あるいは転生者によるバタフライエフェクトの結果。,女主人公 西洋 チート 悪役令嬢 異世界転生,1,101
8,(第一部完結、第二部更新中)乙女ゲームヒロインの『引き立て役の妹』に転生したので立場を奪ってやることにした,"乙女ゲームの主人公の引き立て役である出来の悪い妹に転生してしまったミモザ。
天然無神経な姉、いじめてくる幼馴染、殺意の高すぎる相棒の精霊ー……
奪われ続ける人生に嫌気がさし、せめて一つだけても奪い返してやろうとゲーム内で唯一ミモザのことを褒めてくれていた最強の精霊騎士レオンハルトへ弟子入りをして反撃へと打って出る。
狙うのはーー最強の精霊騎士の座。

※ファンタジーものです。恋愛要素あります。悪役令嬢ではないですが、ゲームの悪役に転生します。

※この作品はアルファポリス様、カクヨム様でも同じタイトルで書かせていただいています。",女主人公 ハッピーエンド 年の差 乙女ゲーム ざまぁ 悪役 恋愛 溺愛(予定) コメディ 成り上がり要素あり R15 残酷な描写あり 異世界転生,1,101
9,神様、婚約者様と聖女様が不貞を働いたそうですが？,"悪魔に国を乗っ取られるかもしれない――
そんな事態を招いたのは、その悪魔を祓う役目を負う聖女様と自分の婚約者だった。",ＥＳＮ大賞６ ほのぼの 女主人公 西洋 中世 年の差 異世界転生,1,101
10,「だから結婚は君としただろう？」,"ホンス伯爵家にはプリシラとリリアラという二人の娘がいた。

黒髪に茶色の瞳の地味なプリシラと、金髪で明るい色彩なリリアラ。両親は妹のリリアラを贔屓していた。
救いは、祖父母伯爵は孫をどちらも愛していたこと。大事にしていた…のに。

プリシラは幼い頃より互いに慕い合うアンドリューと結婚し、ホンス伯爵家を継ぐことになっていた。

それを。
あと一ヶ月後には結婚式を行うことになっていたある夜。

アンドリューの寝台に一糸まとわぬリリアラの姿があった。リリアラは、彼女も慕っていたアンドリューとプリシラが結婚するのが気に入らなかったのだ。自分は格下の子爵家に嫁がねばならないのに、姉は美しいアンドリューと結婚して伯爵家も手に入れるだなんて。

…そうして。リリアラは見事に伯爵家もアンドリューも手に入れた。

けれどアンドリューは改めての初夜の夜に告げる。

「君を愛することはない」

と。

わがまま妹に寝取られた物語ですが、寝取られた男性がそのまま流されないお話。そんなことしたら幸せになれるはずがないお話。
",ハッピーエンド バッドエンド 婚約破棄 姉妹格差 寝取り 寝取られ 仕返し ざまぁ R15,1,101
11,老女召喚〜聖女はまさかの80歳？！〜城を追い出されちゃったけど、何か若返ってるし、元気に異世界で生き抜きます！〜,"　瘴気に脅かされる王国があった。それを祓うことが出来るのは異世界人の乙女だけ。王国の幹部は伝説の『聖女召喚』の儀を行う。だが現れたのは1人の老婆だった。「召喚は失敗だ！」聖女を娶るつもりだった王子は激怒した。そこら辺の平民だと思われた老女は金貨１枚を与えられると、城から追い出されてしまう。実はこの老婆こそが召喚された女性だった。
　白石きよ子・80歳。寝ていた布団の中から異世界に連れてこられてしまった。始めは「ドッキリじゃないかしら」と疑っていた。頼れる知り合いも家族もいない。持病の関節痛と高血圧の薬もない。しかし生来の逞しさで異世界で生き抜いていく。
　後日、召喚が成功していたと分かる。王や重臣たちは慌てて老女の行方を探し始めるが、一向に見つからない。それもそのはず、きよ子はどんどん若返っていた。行方不明の老聖女を探す副団長は、黒髪黒目の不思議な美女と出会うが…。
　人の名前が何故か映画スターの名になっちゃう天然系若返り聖女の冒険。全14話。",ギャグ 女主人公 西洋 魔法 ハッピーエンド 聖女召喚 若返り ドラゴン おばあちゃんの知恵 映画スター 女性向け 異世界転移,2,201
12,改心した悪役令嬢は婚約者に愛されない。,"「俺がお前に愛を囁く日は一生来ないだろう」
正式に婚約が内定した本日、婚約者となった王太子殿下はそう言った。
苛烈で我儘で問題の多い公爵令嬢として大変評判の悪い私は思った。そりゃそうだ、と。改心するのが遅かったんだわ！と。",ハッピーエンド 悪役令嬢 前世の記憶 聖女 勘違い 王子 婚約破棄 異世界転生,1,101
13,悪役令嬢、物語が始まる前はただの美幼女。　戦いを挑んではいけません。,"漫画の世界の悪役令嬢であるビアンカの子供の頃のお話。
転生ヒロインがフラグの為に先走ってしまい、物語が始まる前に悪役令嬢に嚙みついてしまったらどうなるか？",ギャグ 西洋 悪役令嬢 子供が主人公の為 恋愛要素は薄い これもざまぁ？ 異世界転生,1,101
14,【短編】初恋の人が『初恋の女の子』に夢中で婚約破棄までしたので、彼の真の『初恋の女の子』である私は受け入れて、辺境伯令息の甘い優しさに癒されます。,"　幼い頃に婚約した殿下が、私の初恋である。
　しかし、殿下は殿下で『初恋の女の子』に夢中。婚約直後に高熱を出したせいで記憶があやふやではあるが、出会った女の子が忘れられないと語る。
　『初恋の女の子』と比べて貶してくる殿下に、私の初恋はしぼみ、ついに『初恋の女の子』が隣国の王女だと突き止めた殿下は「婚約破棄」を突き付けた。もう私の初恋は終わったので、受け入れた。
　そんな私の元に駆け付けた学園のクラスメイト、辺境伯令息が婚約を申し込む。

「僕は苦しみからも、君を連れ去るよ」

　その後、無事、隣国の王女と婚約が成立して、祝いのパーティーの隅っこでお酒をたしなんでいた私は、ついうっかり「殿下が話している『初恋の女の子』は、かなり美化されているけれど、私のことよ」と友人達に口にしてしまった。
「元々、政略結婚は建前で、婚約も彼の気持ちが先走ってちょっと強引に結ばれたもの。そのあと高熱が出てすっかり忘れてしまったのよね」
　嘘をついてまで嫁ぐ隣国の王女への怒り。それに騙されている初恋の王子への情けなさ。うっぷんを晴らすために酔いの勢いで明かしてしまったのだった。
※※※日間異世界［恋愛］ランキング2位→★１位★(2024/03/31・4/1)ありがとうございます！※※※
(アルファポリスサイトにも掲載)",女主人公 西洋 ハッピーエンド 悲恋 すれ違い 初恋 思い出泥棒 王族 令嬢 辺境伯令息 ざまぁ もう遅い 溺愛 婚約破棄 R15 残酷な描写あり,1,101
15,【書籍化決定！】異世界に転生したけど、今度こそスローライフを満喫するぞ！,"　田舎町でのスローライフを夢見て貯金をため、いざスローライフをするぞと引越しをしていた道中で崖崩れにあい事故死してしまった。

　しかし、その魂を拾い上げて自分の世界へ転生を持ち掛ける神様と出会う。

　今までいた世界からエネルギーを分け与えてもらうパイプ役として、ただ健やかに生きていてほしいという条件で転生をもちかけられそれを承諾し、別世界での新しい人生が始まる。

　次の人生では、今度こそスローライフをするぞと誓い、神様から様々な恩恵を貰って転生する。

　転生ということで生まれ変わるという事を知っていたが、まだ自分の意志では動けない赤ん坊のころから意識があることに驚愕しつつも、仲の良い家族に愛されて育っていく。

　神様からもらった恩恵や、精神が肉体に引っ張られてることがある関係でハプニングを起こすこともあるが、家族はそれを受け入れてくれてだいじに育てられていく。",ほのぼの 男主人公 冒険 日常 青春 転生 のんびり スローライフ R15 残酷な描写あり 異世界転生,2,201
16,【短編版】お前を愛することはない、だと？,"【連載版始めました！】「お前を愛することはない」父の命令で王に嫁ぐことになったが、王に開口一番そう言われた。王妃となった彼女は、自分の才覚をフルに使って欲しいものを全て手に入れていく。
日間総合ランキング1位、週間2位、いただきました！ありがとうございます！
その後の、元王妃と外交官のラブラブ生活を書いた連載を始めました、ぜひそちらもよろしくお願いします！",女主人公 西洋 ハッピーエンド 王妃 王 外交官 恋人 愛することはない 離婚 白い結婚,1,101
17,冤罪をかけられる予定なので、先に悪役令嬢になってあげました,３歳で前世を思い出したルルーディア。今世は公爵令嬢として生まれたので権力と財力を使って美味しいものを食べよう、と計画をするが。今世の世界は塩味か素材の味のほぼ二択で、ルルーディアの美味しいもの計画は頓挫してしまう。そこで将来において婚約者から冤罪をかけられる予定のルルーディアは、先取り悪役令嬢になって美味しいもの計画を成功させる決意をするのであった。,相手的には婚約破棄 悪役令嬢未満 まめまめまめまめ王子 おいちーはしわわせ 溺愛 スパダリは育てるもの 異世界転生,1,101
18,二度目はタの付く自由業,"西暦二〇××年。
　あらゆる困難を科学で解決できると考えていた人類を混乱の坩堝に叩き落とした【ダンジョン】と呼ばれるモノが世界中に出現してから五〇年。
　当時は世界中が大混乱に陥り、それこそ世界中で大小さまざまな騒動がひき起こされたものだが、そんな騒動も今は昔の話。
　今ではダンジョン内に生息する危険生物こと魔物や、ダンジョンに選ばれた者だけに与えられる概念。具体的にはレベルやジョブ、スキルや魔法といった特殊なモノの存在が常識とされる程度に認知されていた。
　そんな中、ダンジョンに選ばれ、ダンジョンに潜り、ダンジョンに巣食う魔物と戦い、ダンジョン内でしか得られない資源を持ち帰る存在がいた。
　科学の力ではどうしようもできない奇怪な存在に対し、特殊な力を用いて立ち向かい、人類の発展に寄与する彼ら彼女らのことを、人々は称賛と畏怖の念を込めて【探索者】と呼んでいた。
　四月。探索者としてのデビューを迎えた、一見どこにでもいるような少年の身に尋常ならざる異常が生じる。
　少年を襲った異常が齎すのは、変化かそれとも停滞か。
　ダンジョンが生まれて五〇年。世界は変革の時を迎えようとしている……かもしれない。

読者の皆さまのおかげをもちまして、４／２１　日間・週間・月間・四半期のジャンル別ランキング一位になれました。ありがとうございます。",ＥＳＮ大賞６ ほのぼの 男主人公 和風 学園 現代 魔法 冒険 日常 ダンジョン タイムリープ R15 残酷な描写あり,2,202
19,余命1年の侯爵夫人,"
ただ、私の中にその愛の残骸が残っていただけだった。



",西洋 中世 ヒストリカル 離婚 余命 病気 旅たち 残酷な描写あり,1,101
20,「お前を愛することはない」と言われても私はちっとも構わなかった。だって欲しかったのは、優しい夫ではなく綺麗なお家だったから。,"子爵令嬢サロメは、飲んだくれの父親、意地悪な継母、手癖の悪い異母妹とともにおんぼろ屋敷に住んでいた。

ある日彼女は、実家の借金を肩代わりしてもらう代わりに、訳ありの侯爵令息の婚約者になる。引っ越し初日、彼女は婚約者からお前を愛することはないと言われてしまった。

しかしめげない彼女は、病人のような婚約者の世話を甲斐甲斐しく行う。すると徐々に婚約者は元気を取り戻し始め、彼女との距離も縮まり始める。

ところがある日、異母妹がサロメの婚約者の子どもを妊娠したと屋敷に押しかけてきた上、彼女を追い出そうとしてきて……。

理想のお家を追い求めたヒロインと、献身的な彼女に惚れこんだ純情なヒーローの恋物語。

作者的にはハッピーエンドです。",女主人公 人外 西洋 近世 日常 ハッピーエンド,1,101
21,【短編版】推しの育て方を間違えたようです,"好きだった小説の世界に転生してしまったことに気づいた公爵令嬢のミレイナ。
しかし、彼女は原作の中では名前も出てこないモブだった。
ミレイナは原作が始まるまでの八年間、前世の推しでもあるセドリックの成長を見守るため、家の力を使って彼に近づくことにしたのだ。

セドリックの友人という立場を死守し続けたミレイナは二十三歳になっていた。
そろそろ自分の結婚相手を探すため、セドリックの側を離れたが、彼は気に入らなかったようで――！？

4/20〜4/21日間総合1位ありがとうございます( *ᴗˬᴗ)⁾⁾
4/23週間総合2位ありがとうございます
連載版を開始しました",女主人公 西洋 年の差 年下ヒーロー 王子 執着 異世界転生,1,101
22,神の落とし子,"　ライは、辺境の森で村人に拾われた。上質のおくるみに包まれていた。礼金が得られるかと、家に連れ帰り隠されて育てられた。
　ライを探す人は訪れなかった。養い親は幼子、ちびを次第に気にかけなくなった。
ちびがよく預けられる薬師のお婆がただ一人、気にかけてくれていた。ある日ちびは売られることを知った。

　売られるぐらいなら、無茶だろうが村を出る。

薬師のお婆の助けを借りて、誰にも見つからずに、男の子ライになって家出を計画した。
5歳の春村を出た。家出を決行した。

　家と薬師のお婆との小さい世界から外の世界に。
ちびはライという名の男として冒険を始めた。
人と出会い。妖精・精霊を友にする。ライの出生の秘密。優しく厳しい薬師のお婆の過去。すべてがライの成長の糧になる。
小さな村から飛び出したライの冒険は今から始まる。

",女主人公 魔法 日常 冒険者 薬師 捨て子 家出 錬金術 妖精猫 ダメな見習い神様 祝福スキル,2,201
23,あたしが利己的な聖女だということを、あなただけが知っている,商家の娘キリコ・イートンは『聖女』の加護持ちだ。通常は洗礼式で加護が判明し、その力が発現するものなのだが、キリコは洗礼式前から聖女の力を使いこなすことができた。キリコは『聖女』であるせいで国に縛られるなんて真っ平ごめんだったので、洗礼式で聖女の力を駆使し、加護を見極める魔道具を誤魔化した。一方子爵家令息ジェームズは、他人がどんな加護を持つかわかる『相見』の加護持ち。ジェームズはイートン商会への婿入りを前提とした顔合わせでキリコと出会う。,魔王 ハッピーエンド 異世界恋愛 聖女 自分勝手 現実的な野望,1,101
24,【一章完結】ゲーム世界のモブ兵士に転生した俺は、真の実力を隠したい～気づけば主要キャラ達に囲まれているんですが、俺ってただのモブですよね？～,"大人気ゲーム〝ブレイブ・オブ・アスタリスク〟の世界に転生してしまった青年。しかし彼の立場は、メインキャラと一切関わりのない、シルヴァという名のしがないモブ門兵だった。自分の行いがシナリオを壊してしまわないよう、メインキャラと距離を取りながら生活することを心掛けるシルヴァだったが、ひょんなことから〝推し〟であるシャルル＝オーロランドの危機を救ってしまう。それ以来シャルルに懐かれてしまったシルヴァは、モブ門兵でありながら、メインキャラたちに一目置かれる存在となっていく。

「俺をただのモブでいさせてくれ……！」

今日もシルヴァの叫びが響き渡る。しかし、迫りくるヒロインたちを彼が無視できるはずもなく――――これは、最強のモブが、大好きだったゲームの世界で生きていく物語。",ハーレム 異世界 ファンタジー 主人公最強 ゲーム世界 無双 モブキャラ R15 残酷な描写あり 異世界転生,2,201
25,嘲笑された貧乏令嬢の私に、みんなの憧れのパーフェクト王子様が興味を持ったようです,"父の治療費を捻出するために倹約に励むメイリアは、伯爵令嬢にも関わらず身なりに全然かまっておらず、学園の卒業パーティーのドレスすら新調できない。
そんなメイリアを見下す女子生徒たちに日々嘲笑され、煩わしさから逃れるため昼休みを薬学準備室で過ごしていた。
けれど、誰も来ないはずの準備室に、みんなの憧れの王子アルヴィオが現れて――⁉

♛ ♞ ♛ ♞ ♛ ♞ ♛ ♞ ♛ ♞ ♛ ♞♛ ♞ ♛ ♞ ♛ ♞ ♛ ♞
2024.4/11
総合ランキング日間1位ありがとうございます！",女主人公 西洋 学園 ハッピーエンド ラブコメ ちょっとざまぁ 甘々 シンデレラストーリー 溺愛 実は美少女,1,101
26,【短編】儚げ美丈夫のモノ。,"儚げな美貌の少年ににっこりと笑いかけられて手招きされたから、てくてく歩み寄れば、手首にリボンを結び付けられた。
「これで君は僕のモノだね」と、少年は言った。
それから、儚げ美貌の彼に執着される日々。外見詐欺の執着暴君である。
しかし、ある日。乙女ゲームのヒロインが登場する。この世界、乙女ゲームだったのか、と全然知らなかったし、自分は関係ないと思っていたが、儚げ美貌の彼のお気に入りだからと敵認定されてしまい……？
※※※日間異世界［恋愛］ランキング1位(2024/04/06)
ありがとうございます！※※※",学園 魔法 乙女ゲーム 執着 所有物 儚げ美貌ヒーロー 溺愛 ヤンデレ 激重感情 転生ヒロイン ざまぁ R15 残酷な描写あり 異世界転生,1,101
27,母がとんでもない仮面妻だった件,"思春期らしく好きな相手とうまくいく秘訣を社交界でも評判な夫婦である両親に尋ねるサミュエル。しかし、母から笑顔で言われたのはとんでもないことだった。

「一番大切なのは噂に左右されず自分できちんと考えて目の前の相手を見ることです。でないと、貴様のような悪辣極まりない売女を妻として遇するつもりはないと小娘を叩き出すような男になりますよ」
「は？」

R15/残酷描写は保険です。ふわっとした設定なのでふわっと読んでください",溺愛 すれ違い 元ドアマットヒロイン ざまあは少し ホームドラマ？ R15 残酷な描写あり,1,101
28,刺繍で魔法陣を描いたら、天才魔法使いに求婚された,"公爵令嬢のシエラは婚約者だった王太子とその恋人に濡れ衣をきせられ、婚約破棄&amp;北の塔に幽閉されてしまった。
インドア派だったシエラは幽閉生活をしっかりと満喫。趣味の刺繍に精を出していた。

ある日、塔の最上階で不思議な模様を見つけ、刺繍の題材にする。
朝起きるとベッドの横にはイケメンが添い寝していてーー！？",女主人公 西洋 魔法 ハッピーエンド 悪役令嬢 魔法使い 恋愛 ざまぁ 溺愛 スパダリ,1,101
29,魔除けの聖女は無能で役立たずをやめることにしました,"聖女の国と呼ばれるセントレア王国で、魔除けの聖女は有名だった……主に悪い意味で。無能で役立たず、不気味な容姿に冷酷な性格。最近では魔除けの聖女の最初と最後の文字を取って魔女と呼ばれていた。貴重な癒しと回復の魔法が使える天使と評される聖女にはめられて、王命で結ばれた婚約をこちら有責で破棄されてしまう。しかも国によって罰金刑まで与えられると聞いたから、さすがに頭にきた。もういいかな、こんな国捨てても。
そこで私、魔除けの聖女――――アンジェリーナは無能で役立たずをやめることにしました！
自分の価値を理解できない国なんて捨てて、自由気ままにいろんな国を見て回ろうと思ったら、いきなり捕まってはいけない人達に捕まってしまった。彼らは通称魔獣の国、リゾルド＝ロバルディア王国から魔除けの聖女を迎えにきたという。さて、アンジェリーナは魔除けの力で魔獣の大移動という天災から国を救い、自由を手に入れることができるのか（できれば身バレしない方向で！）。
※今回は生死に関する内容や精神面に残酷な描写が多いです（当社比）。ご注意ください。
※誤字脱字をできるだけ修正していますが、見つけたらご容赦ください。
※誤字報告、ありがとうございました！",ほのぼの 女主人公 西洋 中世 職業もの チート ハッピーエンド 身分差 悪役令嬢 婚約破棄 Thanks20th R15 残酷な描写あり,1,101
30,私はあの日に戻りたい,"魔王を倒したその後で。
聖女シャロンは王太子と結婚し、幸せな日々を送っているかに思われた。しかし、実情は子供ができないことやマナーができていないことで陰口をたたかれる日々。とうとう王太子は側室を娶ってしまった。シャロンの心はだんだん疲弊していく。
側室が妊娠し、とうとうシャロンは「あの日に戻りたい」と呟いた。すると、彼女の前に魔王討伐で仲間だった勇者と魔法使いが現れる。",女主人公 勇者 西洋 聖女 魔法使い 戦士 結婚 側室 魔王を倒した後 ざまぁなし R15 残酷な描写あり,1,101
31,婚約者が病弱な妹に恋をしたので、私は家を出ます。どうか、探さないでください。,"婚約者が病弱な妹を見掛けて一目惚れし、私と婚約者を交換できないかと両親に聞いたらしい。

妹は清楚で可愛くて、しかも性格も良くて素直で可愛い。私が男でも、私よりもあの子が良いと、きっと思ってしまうはず。

……これは、二人は悪くない。仕方ないこと。

けど、二人の邪魔者になるくらいなら、私が家出します！

※アルファポリス・ベリーズカフェに掲載しています。",西洋 ハッピーエンド ヒストリカル 貴族令嬢 護衛騎士 溺愛 騙されやすい お嬢様 訳有り 田舎の村 正反対の姉妹,1,101
32,聖女様は聖くない,"異世界から召喚された聖女に婚約者の心を奪われてしまったヨハンナ。
彼女は学園の卒業パーティーで王太子である婚約者から、婚約破棄を言い渡されてしまう。
彼の心はもう自分にはないと知ったヨハンナ。
何もかも諦め婚約破棄を受け入れることにしたヨハンナの代わりに、切れたのは何故か婚約者を略奪したはずの聖女だった――。",聖女 悪役令嬢 王太子 婚約破棄,1,101
33,忘れられた第十皇女ですが、婚約者がいたようです!?,"第四側妃の一人娘、第十皇女ラウレンティア・アデラ・ハルフォードは生まれるのと同時に母親が他界。その後、使用人たちの入れ替わり時に引き継ぎがうまくいかず、使用人はいなくなり、生きるために使用人として潜り込み働き始めた。十年以上が経ったある日、皇帝の誕生日のパーティーの場で末っ子皇女の婚約者が発表されることに。婚約者のウル・インガル・ヴァレンタインは、その場で「自分は第十皇女の婚約者だ」と言い出して──！？

えっ？　私って婚約者いたの？",女主人公 西洋 中世 ハッピーエンド,1,101
34,【御礼SS追加】実の娘ってだけで全面的に味方になるほど母は盲目的ではありません。旧タイトル【母の愛が無償だと思っていたのなら、それは大きな間違いです】,"後妻に入ったヒロインの母であり悪役令嬢の義母に注目したお話。よくある義理の娘を苛め抜く母親ではなく、後妻に入った母親がものすご～く真っ当な人間だったら？こんな感じになるんでしょうね。数話で終わります。いろんな登場人物視点のお話が入ります。カップリング複数できるかも？
たくさんの人に読んでもらえて感謝です。
誤字脱字報告、ありがとうございました。
感想もありがとうございました。
第九話、加筆修正しました。",ギャグ ほのぼの 中世 魔法 ハッピーエンド 悪役令嬢 ラブコメ アイリスIF4大賞 ファンタジー ヒロインの母 悪役令嬢の母 婚約破棄 ざまぁ要素あり コメディ寄り 転生ヒロイン 異世界転生,1,101
35,おばさん異世界でブチ切れる,"所謂、異世界召喚とか言うやつでこちらに来たのが三ヶ月くらい前。
いや、そもそもは聖女を呼ぶためだったとかで、私のほかに若い娘が二人ほど一緒に呼び出されていた。",R15 残酷な描写あり 異世界転移,2,201
36,姉のやらかしの尻拭いをさせられる第三王女は、強制的に姉の元婚約者と婚約させられる,浮気相手と結ばれるため、婚約者を悪役令息に仕立て上げ、夜会で彼を断罪して婚約破棄を目論んだ第一王女が修道院行きに、そして、その夜会に参加していた皇子に見初められた第二王女が帝国に嫁いでしまったため、留学していた第三王女アリシアは、次期女王となるため急遽国に戻ることになる。そこで待っていたのは、第一王女の元婚約者でアリシアの新しい婚約者となった、公爵家の子息フィリップだった。誰からも好かれ、温和な雰囲気を纏ったフィリップだが、実は彼の真実の顔は違っていてーー。これは、愛しいアリシアを手に入れるために人知れず暗躍し、ようやく手に入ったので一刻も早く彼女に触れたい男と、そんな彼の好意にうっすら気付いていながら無意識に翻弄する王女の密室での攻防戦。,女主人公 西洋 貴族 王女 悪役令息 婚約破棄 溺愛 王配 両思い R15,1,101
37,最後の思い出に、魅了魔法をかけました,"幼い時からの婚約者が、聖女と婚約を結びなおすことが内定してしまった。
愛も恋もなく政略的な結びつきしかない婚約だったけれど、婚約解消の手続きの前、ほんの短い時間に、クレアは拙い恋心を叶えたいと願ってしまう。

氷の王子と呼ばれる彼から、一度でいいから、燃えるような眼差しで見つめられてみたいと。

「魅了魔法をかけました」
「……は？」
「十分ほどで解けます」
「短すぎるだろう」

（4/9日間総合2位）",女主人公 ハッピーエンド 両片思い 婚約破棄,1,101
38,当事者不在の迷走婚約解消劇,"「ねぇ、いい加減気付いてくださる？　レオンは貴方なんて好きじゃないの、私を愛しているの、さっさと婚約解消してレオンを自由にして頂戴」

　春の訪れを祝う園遊会の最中、美しい声で居丈高に告げたのはシルヴェストル公爵家のマルティーヌ・リオンヌで、言われたのはアルノー伯爵家のニナ・アルノー令嬢である。そして問題のレオンとはバルテル伯爵のレオン・バルテルの事で、ニナの婚約者なのだが、何故かマルティーヌをエスコートしてこの場にいる。
　ニナは困ったように頬に手を添え「あらまぁ」と零した。


　ニナとレオンは婚約者であるが、ほぼ没交流である。そしてレオンが最近何かの集まりでエスコートするのは決まってマルティーヌ。ニナとレオンの婚約は失敗だったのでは？　婚約を解消するつもりでは？　と親達も含めて周囲は考え……そして喜劇の幕が開ける。",西洋 婚約解消 微ざまぁ コメディー 欠落人間,1,101
